,Reconstruction_error,True_class,pred_label
185,-6.769406127929687,0,0
186,-6.887958145141601,0,0
187,-3.3135935783386232,0,0
188,1.4095362067222594,0,0
189,2.2334495544433595,0,0
190,-5.550745964050293,0,0
191,-2.02714467048645,0,0
192,-5.818816137313843,0,0
193,-5.592106056213379,0,0
194,-5.181647300720215,0,0
195,-6.405545711517334,0,0
196,-2.834126663208008,0,0
197,-5.8399045944213865,0,0
198,8.036646938323974,0,0
199,-3.7435741901397703,0,0
200,14.201639747619629,0,0
201,-1.6673261404037476,0,0
202,-2.0430376529693604,0,0
203,-3.3985578060150146,0,0
204,-6.137190341949463,0,0
205,20.274681854248048,0,0
206,-6.042390823364258,0,0
207,-6.025001811981201,0,0
208,-4.7401806831359865,0,0
209,-3.5932689666748048,0,0
210,0.26502838134765627,0,0
